vfl-bochum
spvgg-greuther-fuerth
holstein-kiel
hamburger-sv
fortuna-duesseldorf
karlsruher-sc
sv-darmstadt-98
1-fc-heidenheim
sc-paderborn-07
fc-st-pauli
1-fc-nuernberg
erzgebirge-aue
hannover-96
jahn-regensburg
sv-sandhausen
vfl-osnabrueck
eintracht-braunschweig
wuerzburger-kickers
