arminia-bielefeld
vfb-stuttgart
1-fc-heidenheim
hamburger-sv
sv-darmstadt-98
hannover-96
erzgebirge-aue
vfl-bochum
spvgg-greuther-fuerth
sv-sandhausen
holstein-kiel
jahn-regensburg
vfl-osnabrueck
fc-st-pauli
karlsruher-sc
1-fc-nuernberg
sv-wehen-wiesbaden
dynamo-dresden
